estimate_id,customer_id,service_id,estimate_date,quoted_revenue,quoted_labor_hours,quoted_material_cost,estimate_status,won_date
50001,1,3,2026-04-16,535.69,6.59,145.03,Lost,
50002,2,10,2026-08-15,2428.71,27.79,711.31,Won,2026-08-21
50003,2,5,2025-02-10,342.83,4.76,35.11,Won,2025-02-13
50004,2,8,2025-03-14,285.13,3.02,37.05,Won,2025-03-21
50005,2,8,2025-03-24,391.38,4.19,44.26,Expired,
50006,3,3,2026-03-13,1019.44,13.16,299.64,Expired,
50007,3,6,2026-08-08,5137.9,51.27,2026.81,Won,2026-08-12
50008,3,10,2026-04-06,2512.16,25.56,773.64,Lost,
50009,3,4,2026-08-09,488.6,5.76,102.3,Lost,
50010,3,7,2025-06-03,8617.77,74.0,3303.64,Lost,
50011,4,3,2026-06-29,406.66,5.19,137.37,Lost,
50012,4,4,2025-11-11,527.71,5.48,123.05,Expired,
50013,4,4,2025-10-28,509.31,6.36,107.0,Expired,
50014,4,6,2025-09-23,5058.86,43.99,2000.81,Lost,
50015,5,5,2025-10-20,380.16,4.27,36.0,Won,2025-10-21
50016,5,5,2025-11-01,350.55,4.23,25.79,Lost,
50017,5,3,2025-02-01,683.52,9.87,172.0,Lost,
50018,5,10,2025-05-12,3549.29,42.37,1508.6,Won,2025-05-14
50019,5,6,2025-03-06,4396.31,39.96,1632.96,Expired,
50020,5,7,2025-07-15,6497.53,63.74,1710.21,Won,2025-07-20
50021,6,4,2025-08-09,466.58,5.74,93.62,Won,2025-08-13
50022,6,3,2025-09-13,450.02,6.45,118.69,Won,2025-09-18
50023,7,3,2026-05-28,442.27,5.61,132.04,Lost,
50024,7,10,2026-07-05,2446.87,27.12,825.08,Expired,
50025,7,3,2026-03-07,408.97,5.22,125.82,Expired,
50026,8,7,2025-05-22,6015.75,53.96,2231.63,Won,2025-05-29
50027,8,5,2025-01-07,256.42,2.83,25.14,Won,2025-01-10
50028,10,8,2025-05-13,471.41,4.65,67.2,Won,2025-05-14
50029,10,8,2026-04-06,515.62,5.62,74.69,Won,2026-04-12
50030,11,10,2026-08-05,2034.22,17.7,684.51,Won,2026-08-08
50031,12,4,2025-10-02,323.61,4.07,82.22,Lost,
50032,13,6,2026-03-31,2343.82,21.56,995.61,Lost,
50033,13,6,2025-10-09,2117.13,21.96,800.63,Won,2025-10-16
50034,13,6,2025-08-04,3147.15,31.68,1057.89,Won,2025-08-10
50035,13,3,2026-01-27,436.87,5.78,124.79,Lost,
50036,13,3,2026-02-20,493.57,6.38,132.96,Won,2026-02-26
50037,14,10,2026-04-26,3496.17,43.09,1088.23,Won,2026-05-03
50038,14,7,2025-10-25,7662.19,64.01,2797.7,Won,2025-10-29
50039,14,10,2026-08-24,2830.97,29.85,956.21,Lost,
50040,14,4,2025-09-03,490.45,6.22,122.42,Won,2025-09-04
50041,14,8,2025-08-02,1031.32,11.74,122.14,Won,2025-08-06
50042,15,3,2025-10-18,618.24,8.27,182.18,Won,2025-10-20
50043,15,6,2025-04-03,3473.31,33.46,1195.14,Won,2025-04-04
50044,15,3,2025-10-20,707.94,10.24,211.87,Lost,
50045,15,8,2025-04-15,510.17,6.24,71.95,Won,2025-04-17
50046,15,3,2026-08-07,532.48,7.16,125.35,Won,2026-08-10
50047,15,4,2025-08-04,355.99,4.27,71.98,Won,2025-08-08
50048,16,10,2025-09-29,2162.14,23.13,729.68,Won,2025-10-01
50049,16,7,2026-07-22,4414.46,41.28,1402.1,Won,2026-07-25
50050,16,3,2025-05-26,520.58,6.07,136.66,Lost,
50051,16,8,2026-04-01,375.55,4.56,41.22,Won,2026-04-03
50052,17,3,2026-03-15,795.58,9.05,201.82,Expired,
50053,17,5,2025-09-08,379.34,4.71,38.91,Won,2025-09-10
50054,18,4,2025-02-02,316.77,3.56,70.66,Won,2025-02-07
50055,18,8,2026-06-16,369.18,3.72,48.15,Won,2026-06-21
50056,18,3,2025-07-27,605.9,8.01,176.72,Expired,
50057,18,10,2026-01-15,1700.99,17.65,564.3,Expired,
50058,18,4,2026-03-24,339.82,4.1,63.71,Won,2026-03-31
50059,19,10,2025-07-03,1905.12,20.22,512.3,Lost,
50060,19,4,2025-10-24,328.77,4.18,76.5,Won,2025-10-25
50061,19,3,2026-05-26,529.49,7.46,143.24,Won,2026-05-27
50062,19,8,2025-02-02,510.09,5.97,72.05,Lost,
50063,19,6,2025-08-09,3545.55,34.73,1222.49,Won,2025-08-10
50064,19,7,2026-06-07,6804.42,65.86,2874.16,Lost,
50065,20,6,2025-10-05,3556.46,36.69,938.97,Won,2025-10-07
50066,20,9,2026-07-03,215.14,2.17,59.75,Won,2026-07-05
50067,20,9,2025-10-28,256.34,1.92,57.41,Lost,
50068,20,3,2026-05-07,699.08,9.17,205.14,Won,2026-05-09
50069,20,4,2026-04-30,275.43,3.23,63.11,Expired,
50070,21,4,2025-10-29,608.98,6.39,108.03,Won,2025-11-01
50071,21,8,2025-05-09,681.96,7.53,83.97,Expired,
50072,21,10,2025-05-19,4622.1,49.47,1235.73,Lost,
50073,22,7,2025-12-09,6608.42,66.08,2337.16,Won,2025-12-12
50074,22,9,2026-08-28,368.92,3.48,102.53,Lost,
50075,22,10,2025-07-17,2656.81,28.52,953.01,Won,2025-07-21
50076,22,4,2025-08-10,406.68,4.3,98.83,Lost,
50077,22,4,2025-08-26,472.26,6.04,109.63,Won,2025-08-31
50078,22,6,2025-02-22,4828.66,43.43,1885.53,Lost,
50079,22,8,2025-11-19,518.15,5.3,75.33,Won,2025-11-26
50080,22,3,2025-03-13,688.42,7.78,155.1,Expired,
50081,23,6,2025-04-21,2671.41,27.57,985.46,Expired,
50082,23,3,2026-03-17,440.87,5.89,104.26,Won,2026-03-22
50083,23,5,2025-12-20,315.75,4.0,29.15,Won,2025-12-24
50084,23,9,2025-12-25,349.44,3.27,93.52,Won,2026-01-01
50085,23,4,2025-10-26,318.78,4.1,74.51,Won,2025-11-01
50086,23,7,2025-03-04,4872.59,50.57,2129.37,Expired,
50087,23,6,2025-06-12,3182.95,29.94,1225.71,Won,2025-06-17
50088,24,6,2026-02-10,3633.27,36.39,1224.16,Lost,
50089,24,4,2025-10-21,547.58,6.16,121.07,Won,2025-10-23
50090,24,10,2025-08-12,3862.59,45.27,1408.96,Lost,
50091,25,4,2025-09-03,493.13,5.22,101.64,Won,2025-09-04
50092,25,8,2026-08-01,867.33,8.88,117.23,Won,2026-08-03
50093,25,3,2025-11-28,721.62,9.37,196.05,Lost,
50094,25,6,2026-05-01,3703.98,36.37,1175.36,Expired,
50095,25,6,2025-07-28,2807.41,29.68,1022.11,Expired,
50096,25,6,2026-07-14,3234.63,33.6,1163.79,Won,2026-07-21
50097,25,6,2025-08-01,4294.14,41.53,1444.21,Lost,
50098,25,8,2026-05-24,612.98,6.25,73.66,Won,2026-05-31
50099,26,4,2025-08-17,427.8,4.85,92.3,Lost,
50100,27,9,2026-04-19,261.73,2.34,65.61,Won,2026-04-21
50101,27,5,2025-01-30,362.9,4.25,37.64,Won,2025-02-02
50102,27,10,2026-02-13,3771.93,37.91,1382.0,Won,2026-02-17
50103,27,3,2025-04-25,667.42,8.55,156.33,Won,2025-04-27
50104,27,9,2025-03-29,327.21,3.54,70.26,Won,2025-04-03
50105,28,4,2025-08-04,333.13,3.85,63.6,Lost,
50106,28,10,2025-02-06,3135.47,36.62,1191.98,Won,2025-02-13
50107,29,8,2025-07-29,837.28,9.41,110.52,Won,2025-08-04
50108,29,6,2026-06-12,4255.8,41.95,1694.65,Expired,
