invoice_id,job_id,customer_id,invoice_date,invoice_amount,payment_status,days_to_pay,paid_date
700001,917121,88,2025-01-20,588.06,Paid,21,2025-02-10
700002,917483,261,2025-01-20,247.14,Paid,24,2025-02-13
700003,916935,8,2025-01-24,249.83,Paid,8,2025-02-01
700004,917325,179,2025-01-29,911.08,Paid,17,2025-02-15
700005,917166,107,2025-01-29,311.22,Paid,0,2025-01-29
700006,917270,158,2025-02-01,2601.39,Paid,15,2025-02-16
700007,917247,145,2025-02-03,6052.34,Paid,4,2025-02-07
700008,917493,267,2025-02-04,585.25,Paid,7,2025-02-11
700009,917379,207,2025-02-04,833.3,Paid,31,2025-03-07
700010,902378,55,2025-02-06,166.01,Paid,12,2025-02-18
700011,910807,266,2025-02-05,94.12,Paid,10,2025-02-15
700012,910053,245,2025-02-05,123.46,Paid,0,2025-02-05
700013,910496,254,2025-02-05,109.52,Paid,19,2025-02-24
700014,911117,275,2025-02-06,89.81,Paid,0,2025-02-06
700015,900442,11,2025-02-06,93.81,Paid,8,2025-02-14
700016,913337,339,2025-02-07,95.27,Paid,0,2025-02-07
700017,907832,192,2025-02-05,188.78,Paid,11,2025-02-16
700018,906090,153,2025-02-05,128.86,Paid,4,2025-02-09
700019,900509,13,2025-02-07,91.51,Paid,3,2025-02-10
700020,905977,150,2025-02-06,97.65,Paid,0,2025-02-06
700021,912519,316,2025-02-08,172.9,Paid,7,2025-02-15
700022,912866,328,2025-02-07,104.02,Paid,31,2025-03-10
700023,907126,178,2025-02-07,90.31,Paid,0,2025-02-07
700024,906383,163,2025-02-06,122.72,Paid,0,2025-02-06
700025,913575,343,2025-02-06,120.16,Paid,13,2025-02-19
700026,914706,370,2025-02-06,122.28,Paid,0,2025-02-06
700027,916168,403,2025-02-07,125.74,Paid,11,2025-02-18
700028,903209,81,2025-02-08,152.55,Paid,24,2025-03-04
700029,913166,334,2025-02-08,91.73,Paid,0,2025-02-08
700030,901631,39,2025-02-08,92.1,Paid,0,2025-02-08
700031,916439,410,2025-02-06,149.58,Paid,16,2025-02-22
700032,904680,119,2025-02-07,97.69,Paid,0,2025-02-07
700033,911490,287,2025-02-08,92.28,Paid,1,2025-02-09
700034,916852,419,2025-02-08,127.95,Paid,9,2025-02-17
700035,911998,302,2025-02-08,182.42,Paid,13,2025-02-21
700036,901527,37,2025-02-08,115.71,Paid,19,2025-02-27
700037,905940,149,2025-02-08,93.18,Paid,0,2025-02-08
700038,915585,389,2025-02-09,89.28,Paid,0,2025-02-09
700039,904783,121,2025-02-08,117.93,Paid,21,2025-03-01
700040,908540,205,2025-02-08,131.41,Paid,12,2025-02-20
700041,911659,290,2025-02-09,98.23,Paid,9,2025-02-18
700042,916918,420,2025-02-09,120.91,Paid,1,2025-02-10
700043,902075,48,2025-02-07,93.42,Paid,7,2025-02-14
700044,900547,14,2025-02-09,120.8,Paid,9,2025-02-18
700045,906450,164,2025-02-07,101.27,Paid,11,2025-02-18
700046,906554,166,2025-02-09,86.43,Paid,14,2025-02-23
700047,905234,135,2025-02-08,89.56,Paid,24,2025-03-04
700048,912415,313,2025-02-10,183.62,Paid,0,2025-02-10
700049,901840,43,2025-02-09,100.35,Paid,0,2025-02-09
700050,904643,118,2025-02-09,104.0,Paid,10,2025-02-19
700051,905121,129,2025-02-08,117.9,Paid,4,2025-02-12
700052,900057,1,2025-02-10,103.69,Paid,2,2025-02-12
700053,908923,213,2025-02-08,185.53,Paid,3,2025-02-11
700054,908680,208,2025-02-09,194.54,Paid,0,2025-02-09
700055,908821,211,2025-02-08,124.07,Paid,33,2025-03-13
700056,906760,171,2025-02-10,137.08,Paid,15,2025-02-25
700057,913745,348,2025-02-09,86.81,Paid,0,2025-02-09
700058,907361,182,2025-02-08,93.76,Paid,0,2025-02-08
700059,909159,221,2025-02-10,187.76,Paid,4,2025-02-14
700060,905603,143,2025-02-09,95.23,Paid,14,2025-02-23
700061,902312,54,2025-02-11,96.16,Paid,14,2025-02-25
700062,910911,268,2025-02-11,94.76,Paid,2,2025-02-13
700063,910090,246,2025-02-10,116.31,Paid,17,2025-02-27
700064,909715,234,2025-02-11,87.84,Paid,13,2025-02-24
700065,911593,289,2025-02-11,95.59,Paid,3,2025-02-14
700066,915953,397,2025-02-10,94.36,Paid,0,2025-02-10
700067,912168,306,2025-02-09,99.83,Paid,5,2025-02-14
700068,901188,30,2025-02-10,99.96,Paid,4,2025-02-14
700069,912282,309,2025-02-10,88.21,Paid,6,2025-02-16
700070,913952,352,2025-02-10,182.39,Paid,9,2025-02-19
700071,909508,230,2025-02-10,186.04,Paid,0,2025-02-10
700072,913812,349,2025-02-10,174.5,Paid,10,2025-02-20
700073,907398,183,2025-02-09,121.22,Paid,18,2025-02-27
700074,906995,176,2025-02-11,128.99,Paid,3,2025-02-14
700075,900132,3,2025-02-10,134.96,Paid,14,2025-02-24
700076,915481,387,2025-02-10,120.3,Paid,10,2025-02-20
700077,906656,169,2025-02-10,109.85,Paid,13,2025-02-23
700078,915415,386,2025-02-10,87.6,Paid,4,2025-02-14
700079,917160,105,2025-02-09,544.56,Paid,13,2025-02-22
700080,913471,341,2025-02-12,94.13,Paid,1,2025-02-13
700081,911080,274,2025-02-11,127.32,Paid,5,2025-02-16
700082,915095,378,2025-02-10,175.92,Paid,7,2025-02-17
700083,904227,107,2025-02-11,78.93,Paid,20,2025-03-03
700084,903417,86,2025-02-11,90.85,Paid,0,2025-02-11
700085,907531,186,2025-02-12,97.48,Paid,11,2025-02-23
700086,901971,45,2025-02-12,90.82,Paid,4,2025-02-16
700087,915199,381,2025-02-10,132.72,Paid,25,2025-03-07
700088,911323,282,2025-02-12,185.29,Paid,8,2025-02-20
700089,913063,331,2025-02-12,93.7,Paid,0,2025-02-12
