job_id,employee_id,crew_id,work_date,labor_hours,labor_cost
917121,1013,5,2025-01-18,1.66,42.18
917121,1014,5,2025-01-18,1.78,35.07
917121,1015,5,2025-01-18,3.46,65.43
917483,1004,2,2025-01-18,2.0,43.84
917483,1005,2,2025-01-18,0.41,8.28
917483,1006,2,2025-01-18,0.31,6.19
916935,1001,1,2025-01-23,1.09,26.69
916935,1002,1,2025-01-23,0.21,4.45
916935,1003,1,2025-01-23,1.01,21.71
917325,1007,3,2025-01-28,7.58,171.61
917325,1008,3,2025-01-28,4.45,94.52
917325,1009,3,2025-01-28,1.91,38.41
917166,1007,3,2025-01-29,1.73,39.17
917166,1008,3,2025-01-29,1.9,40.36
917166,1009,3,2025-01-29,1.4,28.15
917270,1004,2,2025-01-30,3.87,84.83
917270,1005,2,2025-01-30,11.48,231.9
917270,1006,2,2025-01-30,9.16,182.93
917247,1007,3,2025-02-01,21.38,484.04
917247,1008,3,2025-02-01,41.16,874.24
917247,1009,3,2025-02-01,8.71,175.16
917493,1013,5,2025-02-04,3.8,96.56
917493,1014,5,2025-02-04,2.84,55.95
917493,1015,5,2025-02-04,1.68,31.77
917379,1007,3,2025-02-04,2.49,56.37
917379,1008,3,2025-02-04,5.94,126.17
917379,1009,3,2025-02-04,3.37,67.77
902378,1001,1,2025-02-05,0.25,6.12
902378,1002,1,2025-02-05,0.51,10.81
902378,1003,1,2025-02-05,0.19,4.08
910807,1007,3,2025-02-05,0.28,6.34
910807,1008,3,2025-02-05,0.47,9.98
910807,1009,3,2025-02-05,0.23,4.63
910053,1004,2,2025-02-05,0.22,4.82
910053,1005,2,2025-02-05,0.45,9.09
910053,1006,2,2025-02-05,0.43,8.59
910496,1004,2,2025-02-05,0.46,10.08
910496,1005,2,2025-02-05,0.19,3.84
910496,1006,2,2025-02-05,0.26,5.19
911117,1013,5,2025-02-05,0.28,7.11
911117,1014,5,2025-02-05,0.23,4.53
911117,1015,5,2025-02-05,0.33,6.24
900442,1001,1,2025-02-05,0.22,5.39
900442,1002,1,2025-02-05,0.28,5.94
900442,1003,1,2025-02-05,0.28,6.02
913337,1001,1,2025-02-05,0.47,11.51
913337,1002,1,2025-02-05,0.2,4.24
913337,1003,1,2025-02-05,0.09,1.93
907832,1007,3,2025-02-05,0.19,4.3
907832,1008,3,2025-02-05,1.18,25.06
907832,1009,3,2025-02-05,0.5,10.05
906090,1007,3,2025-02-05,0.46,10.41
906090,1008,3,2025-02-05,0.37,7.86
906090,1009,3,2025-02-05,0.54,10.86
900509,1013,5,2025-02-06,0.37,9.4
900509,1014,5,2025-02-06,0.06,1.18
900509,1015,5,2025-02-06,0.49,9.27
905977,1007,3,2025-02-06,0.22,4.98
905977,1008,3,2025-02-06,0.26,5.52
905977,1009,3,2025-02-06,0.52,10.46
912519,1010,4,2025-02-06,0.53,13.12
912519,1011,4,2025-02-06,0.63,11.74
912519,1012,4,2025-02-06,0.54,9.97
912866,1010,4,2025-02-06,0.47,11.63
912866,1011,4,2025-02-06,0.09,1.68
912866,1012,4,2025-02-06,0.27,4.99
907126,1010,4,2025-02-06,0.26,6.44
907126,1011,4,2025-02-06,0.27,5.03
907126,1012,4,2025-02-06,0.41,7.57
906383,1007,3,2025-02-06,0.36,8.15
906383,1008,3,2025-02-06,0.46,9.77
906383,1009,3,2025-02-06,0.76,15.28
913575,1004,2,2025-02-06,0.26,5.7
913575,1005,2,2025-02-06,0.57,11.51
913575,1006,2,2025-02-06,0.42,8.39
914706,1010,4,2025-02-06,0.18,4.46
914706,1011,4,2025-02-06,0.37,6.89
914706,1012,4,2025-02-06,0.53,9.79
916168,1007,3,2025-02-06,0.52,11.77
916168,1008,3,2025-02-06,0.61,12.96
916168,1009,3,2025-02-06,0.18,3.62
903209,1013,5,2025-02-06,0.6,15.25
903209,1014,5,2025-02-06,0.43,8.47
903209,1015,5,2025-02-06,0.3,5.67
913166,1013,5,2025-02-06,0.25,6.35
913166,1014,5,2025-02-06,0.48,9.46
913166,1015,5,2025-02-06,0.18,3.4
901631,1013,5,2025-02-06,0.24,6.1
901631,1014,5,2025-02-06,0.15,2.95
901631,1015,5,2025-02-06,0.43,8.13
916439,1004,2,2025-02-06,0.17,3.73
916439,1005,2,2025-02-06,0.47,9.49
916439,1006,2,2025-02-06,0.56,11.18
904680,1004,2,2025-02-06,0.52,11.4
904680,1005,2,2025-02-06,0.16,3.23
904680,1006,2,2025-02-06,0.15,3.0
911490,1004,2,2025-02-07,0.33,7.23
911490,1005,2,2025-02-07,0.29,5.86
911490,1006,2,2025-02-07,0.2,3.99
916852,1001,1,2025-02-07,0.24,5.88
916852,1002,1,2025-02-07,0.34,7.21
916852,1003,1,2025-02-07,0.37,7.96
911998,1004,2,2025-02-07,0.55,12.06
911998,1005,2,2025-02-07,0.27,5.45
911998,1006,2,2025-02-07,0.83,16.58
901527,1013,5,2025-02-07,0.28,7.11
901527,1014,5,2025-02-07,0.38,7.49
901527,1015,5,2025-02-07,0.25,4.73
905940,1013,5,2025-02-07,0.38,9.66
905940,1014,5,2025-02-07,0.15,2.95
905940,1015,5,2025-02-07,0.27,5.11
915585,1013,5,2025-02-07,0.25,6.35
915585,1014,5,2025-02-07,0.16,3.15
915585,1015,5,2025-02-07,0.47,8.89
904783,1010,4,2025-02-07,0.33,8.17
904783,1011,4,2025-02-07,0.26,4.84
904783,1012,4,2025-02-07,0.26,4.8
908540,1001,1,2025-02-07,0.59,14.45
908540,1002,1,2025-02-07,0.2,4.24
908540,1003,1,2025-02-07,0.18,3.87
911659,1001,1,2025-02-07,0.33,8.08
911659,1002,1,2025-02-07,0.3,6.36
911659,1003,1,2025-02-07,0.21,4.51
916918,1004,2,2025-02-07,0.3,6.58
916918,1005,2,2025-02-07,0.29,5.86
916918,1006,2,2025-02-07,0.37,7.39
902075,1007,3,2025-02-07,0.44,9.96
902075,1008,3,2025-02-07,0.19,4.04
902075,1009,3,2025-02-07,0.2,4.02
900547,1004,2,2025-02-07,0.04,0.88
900547,1005,2,2025-02-07,0.18,3.64
900547,1006,2,2025-02-07,0.74,14.78
906450,1013,5,2025-02-07,0.43,10.93
906450,1014,5,2025-02-07,0.31,6.11
906450,1015,5,2025-02-07,0.11,2.08
906554,1004,2,2025-02-07,0.31,6.8
906554,1005,2,2025-02-07,0.37,7.47
906554,1006,2,2025-02-07,0.1,2.0
905234,1010,4,2025-02-07,0.29,7.18
905234,1011,4,2025-02-07,0.32,5.96
905234,1012,4,2025-02-07,0.11,2.03
912415,1001,1,2025-02-08,0.77,18.86
912415,1002,1,2025-02-08,0.84,17.81
912415,1003,1,2025-02-08,0.24,5.16
901840,1013,5,2025-02-08,0.38,9.66
901840,1014,5,2025-02-08,0.22,4.33
901840,1015,5,2025-02-08,0.26,4.92
904643,1007,3,2025-02-08,0.34,7.7
904643,1008,3,2025-02-08,0.35,7.43
904643,1009,3,2025-02-08,0.25,5.03
905121,1004,2,2025-02-08,0.43,9.43
905121,1005,2,2025-02-08,0.28,5.66
905121,1006,2,2025-02-08,0.35,6.99
900057,1013,5,2025-02-08,0.1,2.54
900057,1014,5,2025-02-08,0.16,3.15
900057,1015,5,2025-02-08,0.43,8.13
908923,1001,1,2025-02-08,1.03,25.22
908923,1002,1,2025-02-08,0.49,10.39
908923,1003,1,2025-02-08,0.18,3.87
908680,1004,2,2025-02-08,0.32,7.01
908680,1005,2,2025-02-08,0.42,8.48
908680,1006,2,2025-02-08,1.04,20.77
908821,1013,5,2025-02-08,0.34,8.64
908821,1014,5,2025-02-08,0.3,5.91
908821,1015,5,2025-02-08,0.29,5.48
906760,1007,3,2025-02-08,0.23,5.21
906760,1008,3,2025-02-08,0.65,13.81
906760,1009,3,2025-02-08,0.26,5.23
913745,1010,4,2025-02-08,0.2,4.95
913745,1011,4,2025-02-08,0.2,3.73
913745,1012,4,2025-02-08,0.35,6.46
907361,1010,4,2025-02-08,0.39,9.65
907361,1011,4,2025-02-08,0.25,4.66
907361,1012,4,2025-02-08,0.23,4.25
909159,1007,3,2025-02-09,0.48,10.87
909159,1008,3,2025-02-09,1.08,22.94
909159,1009,3,2025-02-09,0.33,6.64
905603,1010,4,2025-02-09,0.32,7.92
905603,1011,4,2025-02-09,0.25,4.66
905603,1012,4,2025-02-09,0.31,5.73
902312,1007,3,2025-02-09,0.21,4.75
902312,1008,3,2025-02-09,0.19,4.04
902312,1009,3,2025-02-09,0.58,11.66
910911,1013,5,2025-02-09,0.17,4.32
910911,1014,5,2025-02-09,0.56,11.03
910911,1015,5,2025-02-09,0.07,1.32
910090,1004,2,2025-02-09,0.27,5.92
910090,1005,2,2025-02-09,0.34,6.87
910090,1006,2,2025-02-09,0.25,4.99
909715,1010,4,2025-02-09,0.1,2.48
909715,1011,4,2025-02-09,0.31,5.78
909715,1012,4,2025-02-09,0.4,7.39
911593,1001,1,2025-02-09,0.24,5.88
911593,1002,1,2025-02-09,0.1,2.12
911593,1003,1,2025-02-09,0.52,11.18
915953,1004,2,2025-02-09,0.1,2.19
915953,1005,2,2025-02-09,0.47,9.49
915953,1006,2,2025-02-09,0.41,8.19
912168,1013,5,2025-02-09,0.12,3.05
912168,1014,5,2025-02-09,0.27,5.32
912168,1015,5,2025-02-09,0.57,10.78
901188,1007,3,2025-02-09,0.39,8.83
901188,1008,3,2025-02-09,0.35,7.43
901188,1009,3,2025-02-09,0.32,6.44
912282,1004,2,2025-02-09,0.16,3.51
912282,1005,2,2025-02-09,0.35,7.07
912282,1006,2,2025-02-09,0.19,3.79
913952,1004,2,2025-02-09,1.05,23.02
913952,1005,2,2025-02-09,0.6,12.12
913952,1006,2,2025-02-09,0.31,6.19
909508,1001,1,2025-02-09,0.16,3.92
909508,1002,1,2025-02-09,1.25,26.5
909508,1003,1,2025-02-09,0.15,3.23
913812,1001,1,2025-02-09,0.82,20.08
913812,1002,1,2025-02-09,0.41,8.69
913812,1003,1,2025-02-09,0.4,8.6
907398,1007,3,2025-02-09,0.49,11.09
907398,1008,3,2025-02-09,0.53,11.26
907398,1009,3,2025-02-09,0.35,7.04
906995,1001,1,2025-02-09,0.23,5.63
906995,1002,1,2025-02-09,0.48,10.18
906995,1003,1,2025-02-09,0.36,7.74
900132,1001,1,2025-02-09,0.23,5.63
900132,1002,1,2025-02-09,0.54,11.45
900132,1003,1,2025-02-09,0.47,10.1
915481,1007,3,2025-02-09,0.85,19.24
915481,1008,3,2025-02-09,0.15,3.19
915481,1009,3,2025-02-09,0.23,4.63
906656,1001,1,2025-02-09,0.25,6.12
906656,1002,1,2025-02-09,0.26,5.51
906656,1003,1,2025-02-09,0.25,5.38
915415,1007,3,2025-02-09,0.03,0.68
915415,1008,3,2025-02-09,0.43,9.13
915415,1009,3,2025-02-09,0.51,10.26
917160,1007,3,2025-02-09,4.58,103.69
917160,1008,3,2025-02-09,1.36,28.89
917160,1009,3,2025-02-09,2.7,54.3
913471,1013,5,2025-02-10,0.21,5.34
913471,1014,5,2025-02-10,0.38,7.49
913471,1015,5,2025-02-10,0.14,2.65
911080,1004,2,2025-02-10,0.26,5.7
911080,1005,2,2025-02-10,0.62,12.52
911080,1006,2,2025-02-10,0.28,5.59
915095,1007,3,2025-02-10,0.78,17.66
915095,1008,3,2025-02-10,0.64,13.59
915095,1009,3,2025-02-10,0.83,16.69
904227,1013,5,2025-02-10,0.31,7.88
904227,1014,5,2025-02-10,0.09,1.77
904227,1015,5,2025-02-10,0.37,7.0
903417,1007,3,2025-02-10,0.44,9.96
903417,1008,3,2025-02-10,0.4,8.5
903417,1009,3,2025-02-10,0.19,3.82
907531,1007,3,2025-02-10,0.39,8.83
907531,1008,3,2025-02-10,0.35,7.43
907531,1009,3,2025-02-10,0.17,3.42
901971,1004,2,2025-02-10,0.21,4.6
901971,1005,2,2025-02-10,0.21,4.24
901971,1006,2,2025-02-10,0.39,7.79
915199,1013,5,2025-02-10,0.44,11.18
915199,1014,5,2025-02-10,0.28,5.52
915199,1015,5,2025-02-10,0.26,4.92
911323,1010,4,2025-02-10,0.2,4.95
911323,1011,4,2025-02-10,0.57,10.62
911323,1012,4,2025-02-10,0.69,12.74
913063,1004,2,2025-02-10,0.2,4.38
913063,1005,2,2025-02-10,0.29,5.86
913063,1006,2,2025-02-10,0.22,4.39
902481,1010,4,2025-02-10,0.18,4.46
902481,1011,4,2025-02-10,0.28,5.22
902481,1012,4,2025-02-10,0.23,4.25
908989,1001,1,2025-02-10,0.51,12.49
908989,1002,1,2025-02-10,0.59,12.51
