job_id,estimate_id,customer_id,service_id,crew_id,scheduled_date,completed_date,job_status,city,billed_revenue,estimated_labor_hours,actual_labor_hours,estimated_material_cost,actual_material_cost,rework_flag,weather_delay_flag,travel_minutes,customer_rating
917121,50371,88,3,5,2025-01-18,2025-01-18,Completed,Nolensville,588.06,7.8,6.9,196.87,179.7,0,0,38,5.0
917483,51091,261,5,2,2025-01-16,2025-01-18,Completed,Nashville,247.14,3.07,2.72,26.34,30.47,0,1,50,4.5
916935,50027,8,5,1,2025-01-23,2025-01-23,Completed,Nolensville,249.83,2.83,2.31,25.14,24.68,0,0,39,5.0
917325,50760,179,3,3,2025-01-27,2025-01-28,Completed,Spring Hill,911.08,12.04,13.94,250.31,243.56,0,1,50,4.0
917166,50452,107,5,3,2025-01-29,2025-01-29,Completed,Spring Hill,311.22,3.81,5.03,32.7,32.05,0,0,37,4.1
917270,50659,158,10,2,2025-01-30,2025-01-30,Completed,Brentwood,2601.39,26.88,24.51,791.25,693.91,0,0,60,4.2
917247,50606,145,6,3,2025-02-01,2025-02-01,Completed,Brentwood,6052.34,60.05,71.25,2028.02,2018.06,0,0,24,4.5
917493,51110,267,5,5,2025-02-04,2025-02-04,Completed,Nashville,585.25,7.4,8.32,67.42,61.51,0,0,19,4.3
917379,50865,207,3,3,2025-02-04,2025-02-04,Completed,Brentwood,833.3,11.11,11.8,240.32,272.57,0,0,10,4.3
902378,,55,2,1,2025-02-05,2025-02-05,Completed,Nolensville,166.01,1.05,0.95,30.29,32.64,0,0,13,4.4
910807,,266,2,3,2025-02-05,2025-02-05,Completed,Brentwood,94.12,0.87,0.98,22.38,20.81,0,0,38,4.9
910053,,245,2,2,2025-02-05,2025-02-05,Completed,Franklin,123.46,1.18,1.09,29.02,26.65,0,0,21,5.0
910496,,254,2,2,2025-02-05,2025-02-05,Completed,Franklin,109.52,0.83,0.91,25.06,26.16,0,0,13,5.0
911117,,275,2,5,2025-02-05,2025-02-05,Completed,Brentwood,89.81,0.77,0.83,22.01,25.54,0,0,39,4.7
900442,,11,2,1,2025-02-05,2025-02-05,Completed,Nolensville,93.81,0.78,0.78,22.17,25.44,0,0,29,4.6
913337,,339,2,1,2025-02-05,2025-02-05,Completed,Franklin,95.27,0.83,0.76,22.01,20.64,0,0,33,4.8
907832,,192,2,3,2025-02-05,2025-02-05,Completed,Brentwood,188.78,1.69,1.87,44.18,44.56,0,0,12,4.8
906090,,153,2,3,2025-02-05,2025-02-05,Completed,Brentwood,128.86,1.13,1.37,30.89,32.55,0,0,10,4.4
900509,,13,2,5,2025-02-06,2025-02-06,Completed,Brentwood,91.51,0.83,0.92,24.5,26.51,0,0,27,4.9
905977,,150,2,3,2025-02-06,2025-02-06,Completed,Spring Hill,97.65,0.87,1.01,20.0,19.2,0,0,43,4.6
912519,,316,2,4,2025-02-05,2025-02-06,Completed,Spring Hill,172.9,1.74,1.7,42.44,45.69,0,1,28,4.3
912866,,328,2,4,2025-02-06,2025-02-06,Completed,Spring Hill,104.02,0.84,0.83,19.08,21.78,0,0,25,4.2
907126,,178,2,4,2025-02-06,2025-02-06,Completed,Spring Hill,90.31,1.01,0.94,21.77,23.9,0,0,16,5.0
906383,,163,2,3,2025-02-06,2025-02-06,Completed,Brentwood,122.72,1.31,1.58,28.47,29.53,0,0,17,4.9
913575,,343,2,2,2025-02-06,2025-02-06,Completed,Franklin,120.16,1.17,1.25,31.02,30.98,0,0,41,4.3
914706,,370,2,4,2025-02-06,2025-02-06,Completed,Nolensville,122.28,1.13,1.08,30.31,31.6,0,0,31,5.0
916168,,403,2,3,2025-02-06,2025-02-06,Completed,Franklin,125.74,1.11,1.31,29.14,32.43,0,0,37,4.5
903209,,81,2,5,2025-02-06,2025-02-06,Completed,Nashville,152.55,1.25,1.33,30.18,32.11,0,0,23,4.7
913166,,334,2,5,2025-02-06,2025-02-06,Completed,Brentwood,91.73,0.85,0.91,22.34,21.41,0,0,37,4.5
901631,,39,2,5,2025-02-06,2025-02-06,Completed,Nolensville,92.1,0.78,0.83,22.51,19.63,0,0,35,4.8
916439,,410,2,2,2025-02-06,2025-02-06,Completed,Spring Hill,149.58,1.19,1.2,29.54,33.01,0,0,30,5.0
904680,,119,2,2,2025-02-06,2025-02-06,Completed,Franklin,97.69,0.91,0.84,21.63,24.13,0,0,26,4.9
911490,,287,2,2,2025-02-07,2025-02-07,Completed,Franklin,92.28,0.85,0.82,23.95,24.18,0,0,26,4.6
916852,,419,2,1,2025-02-07,2025-02-07,Completed,Nolensville,127.95,1.22,0.95,27.62,29.69,0,0,22,5.0
911998,,302,2,2,2025-02-07,2025-02-07,Completed,Franklin,182.42,1.75,1.65,42.92,46.49,0,0,8,5.0
901527,,37,2,5,2025-02-07,2025-02-07,Completed,Nolensville,115.71,0.9,0.91,22.42,24.56,0,0,33,4.7
905940,,149,2,5,2025-02-07,2025-02-07,Completed,Nashville,93.18,0.81,0.81,20.87,23.54,0,0,12,5.0
915585,,389,2,5,2025-02-07,2025-02-07,Completed,Franklin,89.28,0.77,0.88,23.15,22.23,0,0,52,4.6
904783,,121,2,4,2025-02-07,2025-02-07,Completed,Brentwood,117.93,0.85,0.85,22.64,20.81,0,0,31,4.9
