service_id,service_name,service_category,billing_type,default_price,default_est_labor_hours,default_material_cost,target_margin
1,Lawn Mowing,Recurring Maintenance,recurring,72,1.25,8,0.23
2,Fertilization & Weed Control,Recurring Maintenance,recurring,110,1.0,26,0.34
3,Mulch & Bed Maintenance,Enhancement,one-time,620,8.0,170,0.34
4,Aeration & Overseeding,Seasonal,one-time,430,5.0,95,0.37
5,Leaf Cleanup,Seasonal,one-time,360,4.5,35,0.31
6,Landscape Installation,Project,one-time,3400,34.0,1220,0.37
7,Hardscape Installation,Project,one-time,6900,64.0,2550,0.33
8,Shrub & Tree Trimming,Enhancement,one-time,540,6.0,70,0.36
9,Irrigation Service,Service,one-time,320,3.0,85,0.39
10,Sod Installation,Project,one-time,2450,27.0,840,0.32
