completed_month,jobs_completed,active_customers,revenue,labor_cost,material_cost,gross_profit,actual_labor_hours,rework_rate,weather_delay_rate,avg_customer_rating,gross_margin_pct,avg_job_value,revenue_per_labor_hour
2025-01-01,6,6,4908.719999999999,1165.72,1204.37,2538.63,55.410000000000004,0.0,0.3333333333333333,4.466666666666667,0.5171674082041755,818.1199999999999,88.58906334596641
2025-02-01,333,318,60570.38,12685.01,16101.630000000001,31783.74,591.8,0.015015015015015015,0.07807807807807808,4.668168168168168,0.5247406405573154,181.89303303303302,102.34940858398107
2025-03-01,200,183,42290.22,11185.0,11114.66,19990.56,525.67,0.015,0.105,4.5760000000000005,0.4726993616963922,211.4511,80.45013030989024
2025-04-01,1416,321,202360.22,53130.05,49964.3,99265.87,2487.01,0.02824858757062147,0.13771186440677965,4.62069209039548,0.49054043329266983,142.90975988700566,81.36687025785983
2025-05-01,1165,325,175506.13999999998,51525.7,41259.97,82720.47,2414.88,0.020600858369098713,0.14763948497854076,4.602145922746781,0.47132521973305325,150.6490472103004,72.67696117405418
2025-06-01,1414,323,198164.09,54163.4,45732.28,98268.41,2547.16,0.021216407355021217,0.11951909476661952,4.617892503536067,0.4958941350070036,140.1443352192362,77.79805351842838
2025-07-01,1125,319,177499.49,50738.36,43879.61,82881.52,2388.49,0.022222222222222223,0.1448888888888889,4.613777777777778,0.466939482474006,157.77732444444445,74.31452088976718
2025-08-01,1473,324,212275.75,57562.28,47891.69,106821.78,2680.03,0.021045485403937542,0.08621860149355058,4.620841819416158,0.5032217763922634,144.11116768499662,79.20648276325264
2025-09-01,1114,326,168952.22,49403.21,39921.15,79627.86,2321.59,0.026032315978456014,0.10771992818671454,4.6068222621184916,0.47130401719492054,151.66267504488331,72.77435722931267
2025-10-01,1511,332,245538.3,64884.46,56969.55,123684.29000000001,3024.66,0.031105228325612178,0.07809397749834547,4.617736598279285,0.5037270763868611,162.5005294506949,81.17881018031778
2025-11-01,607,329,157152.72,39421.49,42081.26,75649.97,1848.22,0.032948929159802305,0.07413509060955518,4.622899505766062,0.48137868692314073,258.90069192751236,85.02922812219325
2025-12-01,43,40,32435.21,8324.77,7831.56,16278.88,389.28,0.06976744186046512,0.09302325581395349,4.562790697674418,0.5018891507099846,754.3072093023255,83.32102856555693
2026-01-01,37,34,46898.53,10736.47,14668.12,21493.94,504.28999999999996,0.05405405405405406,0.16216216216216217,4.602702702702703,0.45830732860923357,1267.5278378378378,92.99912748616867
2026-02-01,331,316,59265.92,12520.72,15082.65,31662.55,590.89,0.006042296072507553,0.11782477341389729,4.648942598187311,0.5342454820578167,179.0511178247734,100.29941275025809
2026-03-01,446,295,83886.73,23245.829999999998,21103.82,39537.08,1096.09,0.026905829596412557,0.13452914798206278,4.610986547085202,0.4713150697374901,188.08683856502242,76.53270260653778
2026-04-01,1409,322,208103.68,56096.83,50232.590000000004,101774.26,2640.27,0.0262597586941093,0.1327182398864443,4.619375443577005,0.4890555515404629,147.69601135557133,78.81909047180781
2026-05-01,1161,322,185328.22,51979.44,44474.42,88874.36,2456.66,0.02153316106804479,0.09302325581395349,4.609043927648579,0.47955114445064007,159.62809646856158,75.4391002417917
2026-06-01,1420,327,212294.36000000002,57459.37,49599.840000000004,105235.15,2684.01,0.01971830985915493,0.11338028169014085,4.620774647887324,0.49570393674141877,149.50307042253522,79.09596462010201
2026-07-01,1141,325,166795.9,46921.659999999996,40111.15,79763.09,2224.18,0.028045574057843997,0.12357581069237511,4.597195442594216,0.4782077377201718,146.18396143733565,74.99208697137821
2026-08-01,1462,323,199502.69,54313.89,46272.24,98916.56,2552.35,0.02667578659370725,0.08276333789329686,4.60875512995896,0.4958156704553708,136.4587482900137,78.16431523889749
2026-09-01,3,3,229.81,70.63,25.35,133.83,3.29,0.0,1.0,4.3999999999999995,0.5823506374831383,76.60333333333334,69.85106382978724
